id,jenis,forklift_id,tanggal,teknisi,report_no,description,recommendation,items_used,next_pm,deleted_at,updated_at,created_at
67,Lapangan,338,2025-11-10,"Afrizal, Mesman",28286,<ul><li>Ganti hose radiator</li><li>Ganti tutup radiator</li><li>Ganti switch engine oil</li><li>Setel Rem</li></ul>,<ul><li>Mounting Engine 2 pcs</li></ul>,<ul><li>Hose Radiator 1 pc</li><li>Tutup Radiator 1 pc</li><li>Switch Oli 1 pc</li><li>Setel Rem 1 job</li></ul>,,,2025-11-10 16:19:20,2025-11-10 16:19:20
68,PM,343,2025-11-10,"Riki, Rahul",28442,Preventative MaintenanceGanti Lock Fork,<ul><li>Main Lift Cylinder Seal 1 set</li><li>Side shift cylinder seal 1 set</li><li>LED front lamp (RH) 1pc</li><li>Panel meter repair 1 job</li></ul>,<ul><li>Engine Oil 8L</li><li>Hydraulic Oil 3L</li><li>Oil Filter 1 pc</li><li>Fuel filter 1 pc</li><li>Lock Fork Pin 1 set</li></ul>,2025-12-10,,2025-11-10 16:28:37,2025-11-10 16:28:37
69,PM,344,2025-11-10,"Riki, Rahul",28441,<ul><li>Preventative Maintenance</li></ul>,<ul><li>Seal Transmisi Belakang 1 pc</li><li>Solar Kotor (Berair)</li></ul>,<ul><li>ATF Oil 1 L</li><li>Fuel Filter 1 pc</li><li>Oil Filter 1 pc</li><li>Engine Oil 8 L</li></ul>,2025-12-10,,2025-11-10 16:30:52,2025-11-10 16:30:52
70,PM,325,2025-11-10,"Riki, Rahul",28440,<ul><li>Preventative Maintenance</li><li>Adkust Handbrake/Panelbrake</li></ul>,<ul><li>Set Lampu Belakang RH 1 set</li><li>Set Lampu Depan LH&nbsp; 1 pc</li><li>Hydraulic pump seal kit 1 set</li><li>Tangki solar kotor/berair</li><li>Ban Belakang Retak 2 pcs</li></ul>,<ul><li>Engine Oil 8 L</li><li>Oil Filter 1 pc</li><li>Fuel Filter 1 pc</li><li>Adjust Parking Brake 1 job</li></ul>,2025-12-10,,2025-11-10 16:33:54,2025-11-10 16:33:54
71,PM,591,2025-11-10,"Liping, Toyib, Epan",28473,Preventative Maintenance,<ul><li>Seal Kit motor swing 1 set</li><li>Seal kit main 2 set</li><li>Potensio steering 1 pcs</li><li>Lampu rotary</li></ul>,,2025-12-10,,2025-11-11 15:53:40,2025-11-11 15:53:40
72,PM,514,2025-11-10,"Liping, Toyib, Epan",28474,Preventative Maintenance,,,2026-02-10,,2025-11-11 15:54:54,2025-11-11 15:54:54
73,PM,413,2025-11-10,"Liping, Toyib, Epan",28475,Preventative Maintenance,,,2025-12-10,,2025-11-11 15:56:04,2025-11-11 15:56:04
74,PM,591,2025-11-10,"Liping, Toyib, Epan",28476,Preventative Maintenance,<ul><li>Seal kit motor swing 1 set</li><li>Guide Wheel 2 pcs</li></ul>,,2025-12-10,,2025-11-11 15:57:10,2025-11-11 15:57:10
75,PM,608,2025-11-10,"Liping, Toyib, Epan",28477,Preventative Maintenance,,<ul><li>Socket Battery 1 pc</li></ul>,2025-12-10,,2025-11-11 15:58:09,2025-11-11 15:58:09
76,PM,608,2025-11-10,"Toyib, Liping, Epan",28478,Preventative Maintenance,,,2025-12-10,,2025-11-11 15:59:10,2025-11-11 15:59:10
77,PM,607,2025-11-10,"Liping, Toyib, Epan",28479,Preventative Maintenance,<ul><li>Battery 1 unit</li></ul>,,2025-12-10,,2025-11-11 16:00:23,2025-11-11 16:00:23
78,PM,423,2025-11-11,"Toyib, Liping, Epan",28480,Preventative Maintenance,,,2025-12-11,,2025-11-11 16:01:55,2025-11-11 16:01:55
79,PM,422,2025-11-11,"Toyib, Epan",28481,Preventative Maintenance,<ul><li>Jalan dirack tak lurus 1 job</li></ul>,,2025-12-11,,2025-11-11 16:03:05,2025-11-11 16:03:05
80,PM,424,2025-11-11,"Toyib, Epan",28482,Preventative Maintenance,<ul><li>Switch Klakson 1 set</li></ul>,,2025-12-11,,2025-11-11 16:04:03,2025-11-11 16:04:03
81,Lapangan,585,2025-11-11,"Asep, Epan",28417,<ul><li>Ganti Load Wheel</li></ul>,Castor Wheel 1 pcDrive Wheel 1 pc,Load Wheel 4 pcs,,,2025-11-11 16:13:00,2025-11-11 16:13:00
82,Lapangan,585,2025-11-11,"Epan, Asep",28416,<ul><li>Install Red Light</li></ul>,,<ul><li>Red Light Bracket 2 pcs</li><li>Spion + bracket 1 pc</li><li>Relay + fuse box 2 set</li><li>Cable</li><li>Back buzzer 12-24v 1 pc</li></ul>,,,2025-11-11 16:15:12,2025-11-11 16:15:12
83,Lapangan,555,2025-11-11,"Asep, Epan",28415,<ul><li>Install Red Light</li></ul>,<ul><li>Red Light + Bracket 2 pcs</li><li>Spion + Bracket 1 pc</li><li>Relay + Fuse Box 2 set</li><li>Cable 6 meter</li><li>Back Buzzer 12-24v 1 pc</li></ul>,,,,2025-11-11 16:17:00,2025-11-11 16:17:00
